"FSC","SSC","CD16 AF488","FL2-A","CD14-PE","CD42a-PerCP","CCR2-APC"
913,902,424.48,0,6.53667,2.2213,18.3897
896,961,364.306,0,4.85809,9.71062,20.6715
881,822,768.599,0,3.18337,3.35989,24.97
39,471,1366.83,855,3098.73,5363.71,9910.46
505,96,9.03738,0,12.1604,1.41695,16.071
36,516,1295.11,828,2989.44,5221.28,9910.46
764,716,258.884,0,1.00681,9.11968,6.77756
544,146,55.6097,0,12.0528,1.46901,5.26882
502,115,13.6707,0,9.80076,6.03007,41.3295
532,120,6.30767,0,2.56592,8.48741,9.88966
761,667,405.955,0,1.97687,5.66251,17.119
831,776,715.462,0,7.68842,1.00699,21.8254
861,846,348.419,0,3.12771,5.66291,7.68868
475,69,3.88143,0,4.52271,1.74316,6.71852
354,84,1.9419,0,8.56559,65.9897,11.4224
815,709,576.631,0,1.00713,3.30149,18.2347
443,87,7.75924,0,3.81264,5.27048,36.4497
784,830,597.796,0,4.99377,2.45377,15.9344
836,756,608.669,0,3.58024,2.04986,16.0789
897,716,690.373,0,2.70915,2.59002,19.4224
398,133,9.3737,0,11.528,74.8609,19.5985
883,900,880.203,0,2.12518,3.74532,6.42486
970,899,690.445,0,3.1856,1.69728,13.4336
825,834,536.747,0,1.00741,3.77942,16.227
472,55,4.24837,0,4.95026,6.54217,12.9598
40,660,1367.89,850,3073.35,5367.84,9910.46
784,555,318.605,0,2.66151,1.00752,18.4065
723,609,556.487,0,1.55156,2.54455,18.5735
39,640,1319.69,837,3018.88,5225.49,9910.46
812,663,690.615,0,1.10245,1.4055,15.3777
473,82,8.12014,0,8.34223,4.0624,8.04743
392,70,4.06254,0,5.56565,4.8632,8.5707
750,640,324.456,0,1.06361,6.36979,12.7323
819,983,522.64,0,1.00776,5.56604,8.88529
886,860,464.983,0,8.80604,4.24986,15.5194
863,760,672.37,0,1.00784,4.09982,14.7046
825,819,477.734,0,7.42322,5.32183,13.0824
41,483,1332.03,822,2939.43,5227.13,9910.46
916,819,561.732,0,5.37029,4.10025,22.4435
797,293,11.33,438,1638.28,1.12286,276.026
869,264,31.8761,668,2411.97,2.22441,228.525
908,813,452.715,0,1.90908,7.4916,18.7505
937,842,508.887,0,4.17526,1.00808,33.95
436,91,10.5449,0,9.90145,3.85072,14.0618
42,552,1308.6,828,2993.52,5181.6,9910.46
881,919,532.351,0,1.00819,2.63943,15.3863
531,126,101.733,0,4.90972,222.488,9.05069
36,486,1297.02,827,2967.03,5182.14,9910.46
953,1023,551.91,0,3.10362,1.39384,24.3444
40,485,1381.41,839,3021.1,5324.25,9910.46
377,71,4.95477,0,5.09029,2.86248,8.34807
48,491,1356.87,844,3048.61,5324.62,9910.46
736,556,478.001,0,4.65276,4.78001,21.661
552,117,7.03741,0,16.2441,1.34482,4.06567
40,520,1344.86,862,3104.27,5470.83,9910.46
850,813,523.043,0,1.29738,1.00854,15.6711
710,57,8.81282,0,8.89245,3.21821,2.26606
866,828,604.043,0,1.98013,1.38179,10.7416
741,578,469.578,0,1.00865,1.00865,18.9311
779,646,461.223,0,2.43538,1.99816,17.9372
890,957,716.691,0,5.42298,1.00872,35.2159
440,83,7.91254,0,3.49018,3.58563,115.446
448,79,3.19007,0,5.82799,1.00879,20.1642
752,658,609.628,0,14.3271,4.57157,3.95881
41,480,1321.35,860,3105.36,5279.35,9910.46
840,267,16.3977,513,1910.69,2.22636,232.877
1023,1023,478.236,0,7.91392,2.41416,18.4323
837,819,509.332,0,2.94252,1.00896,11.3412
824,635,577.702,0,6.79229,2.50278,19.8089
841,816,371.803,0,5.57306,1.38237,18.2692
1023,792,528.046,0,7.29956,2.54839,42.1711
524,129,15.8216,0,16.5493,29.9635,55.7345
850,679,649.45,0,1.61093,1.00011,10.5556
835,842,528.102,0,8.81808,1.00014,6.43658
916,897,495.894,0,3.65239,70.426,10.0921
829,769,523.41,0,2.96994,1.00021,18.4381
732,164,10.3689,0,15.8244,59.9033,11.5507
943,1012,237.204,0,4.41219,62.661,14.9935
999,998,469.908,0,6.15461,1.87748,15.9685
445,82,10.4637,0,11.0439,1.79498,13.5821
802,814,588.437,0,3.49251,1.29852,16.7042
862,993,491.575,0,1.7008,1.00042,13.103
855,326,11.1448,646,2309.3,1.04648,278.941
800,637,297.078,0,1.12459,4.03351,14.7293
961,887,196.426,0,8.06269,10.4655,18.444
130,607,2110.88,1023,4916.45,7639.37,9910.46
768,746,588.561,0,1.71647,1.2529,17.4762
693,316,18.9505,477,1763.48,3.36992,278.99
335,90,2.3944,0,12.0871,74.3678,10.0067
41,476,1358.69,843,2998.26,5189.79,9910.46
714,350,17.9568,381,1434.07,2.64361,100.978
452,120,53.3212,0,10.5627,5.28437,4.5351
397,73,6.38322,0,10.95,2.79039,5.67883
941,911,638.345,0,4.61775,1.00085,20.7383
757,755,704.757,0,3.5258,5.33268,17.0158
795,104,3.16518,0,2.94543,57.3074,6.73788
735,578,237.363,0,1.38369,1.62686,8.82523
39,512,1322.89,849,3026.2,5285.49,9910.46
788,255,15.6948,398,1500.46,8.36217,246.076
142,830,2189.29,1023,5099.07,7712.2,9910.46
886,335,20.0104,522,1895.91,4.78809,284.184
